id,liveness,loudness,analysis_url,valence,mode,speechiness,tempo,key,type,acousticness,time_signature,uri,energy,track_href,duration_ms,danceability,instrumentalness
7wrYBASu0OoxoDErd4Edxd,0.316,-15.073,https://api.spotify.com/v1/audio-analysis/7wrYBASu0OoxoDErd4Edxd,0.62,0,0.0895,143.771,11,audio_features,0.594,4,spotify:track:7wrYBASu0OoxoDErd4Edxd,0.268,https://api.spotify.com/v1/tracks/7wrYBASu0OoxoDErd4Edxd,298266,0.635,2.04e-06
4esbIk42AvA2Zysz1V33SI,0.168,-8.288,https://api.spotify.com/v1/audio-analysis/4esbIk42AvA2Zysz1V33SI,0.45,0,0.0638,143.974,3,audio_features,0.491,4,spotify:track:4esbIk42AvA2Zysz1V33SI,0.498,https://api.spotify.com/v1/tracks/4esbIk42AvA2Zysz1V33SI,406000,0.626,0.0
1xQ6trAsedVPCdbtDAmk0c,0.269,-8.52,https://api.spotify.com/v1/audio-analysis/1xQ6trAsedVPCdbtDAmk0c,0.761,0,0.0803,150.076,0,audio_features,0.234,4,spotify:track:1xQ6trAsedVPCdbtDAmk0c,0.481,https://api.spotify.com/v1/tracks/1xQ6trAsedVPCdbtDAmk0c,171375,0.767,0.0
5RHUlxtZy1CeR4mGFftLoF,0.166,-3.173,https://api.spotify.com/v1/audio-analysis/5RHUlxtZy1CeR4mGFftLoF,0.842,1,0.069,108.002,1,audio_features,0.203,4,spotify:track:5RHUlxtZy1CeR4mGFftLoF,0.933,https://api.spotify.com/v1/tracks/5RHUlxtZy1CeR4mGFftLoF,254789,0.722,5.21e-06
0DqWbva8nt0I7QTjXpjQEo,0.0416,-4.862,https://api.spotify.com/v1/audio-analysis/0DqWbva8nt0I7QTjXpjQEo,0.774,1,0.0403,101.995,0,audio_features,0.0633,4,spotify:track:0DqWbva8nt0I7QTjXpjQEo,0.532,https://api.spotify.com/v1/tracks/0DqWbva8nt0I7QTjXpjQEo,210067,0.952,0.0343
3XXWxfOUxY9L2R6vVpO05T,0.253,-6.526,https://api.spotify.com/v1/audio-analysis/3XXWxfOUxY9L2R6vVpO05T,0.3,1,0.052,92.009,8,audio_features,0.161,4,spotify:track:3XXWxfOUxY9L2R6vVpO05T,0.585,https://api.spotify.com/v1/tracks/3XXWxfOUxY9L2R6vVpO05T,211296,0.752,0.00651
7mgGEXpbBMCOHgIUqdfARm,0.0616,-9.007,https://api.spotify.com/v1/audio-analysis/7mgGEXpbBMCOHgIUqdfARm,0.362,0,0.0315,89.961,5,audio_features,0.247,4,spotify:track:7mgGEXpbBMCOHgIUqdfARm,0.499,https://api.spotify.com/v1/tracks/7mgGEXpbBMCOHgIUqdfARm,217254,0.703,4.89e-06
0InryNsC28qUTwsJViH8Sw,0.0695,-11.725,https://api.spotify.com/v1/audio-analysis/0InryNsC28qUTwsJViH8Sw,0.43,1,0.382,64.994,9,audio_features,0.292,4,spotify:track:0InryNsC28qUTwsJViH8Sw,0.33,https://api.spotify.com/v1/tracks/0InryNsC28qUTwsJViH8Sw,170769,0.762,7.19e-06
0kIJwJuXNPH46iBUcmo4i9,0.208,-10.983,https://api.spotify.com/v1/audio-analysis/0kIJwJuXNPH46iBUcmo4i9,0.337,0,0.234,96.456,1,audio_features,0.0937,3,spotify:track:0kIJwJuXNPH46iBUcmo4i9,0.49,https://api.spotify.com/v1/tracks/0kIJwJuXNPH46iBUcmo4i9,152320,0.453,0.00112
4p1v9sQlYc8WXeYNAK33iW,0.366,-7.764,https://api.spotify.com/v1/audio-analysis/4p1v9sQlYc8WXeYNAK33iW,0.187,1,0.0385,184.071,8,audio_features,0.0803,4,spotify:track:4p1v9sQlYc8WXeYNAK33iW,0.519,https://api.spotify.com/v1/tracks/4p1v9sQlYc8WXeYNAK33iW,138546,0.322,0.0
